cesta,counter_id,naziv,pocetak,kraj,v_max_dop,v_avg_smjer1,v_avg_smjer2,v85_smjer1,v85_smjer2,year,v_avg,v85_avg
DC50,4205,Ličko Lešće,Ž5144,Ž5147,50,53.0,52.0,62.0,61.0,2023,52.5,61.5
DC50,4225,Gospić - jug,D25,A1,70/50,78.0,80.0,92.0,95.0,2023,79.0,93.5
DC50,4905,Sveti Rok,A1,L59116,50,75.0,76.0,95.0,100.0,2023,75.5,97.5
DC51,3530,Bektež,Ž4117,L41045,50,78.0,72.0,92.0,86.0,2023,75.0,89.0
DC51,3524,Eminovci,L41033,D38,50,55.0,54.0,61.0,60.0,2023,54.5,60.5
DC51,3515,Oblakovac,D38,L41019,50,74.0,79.0,88.0,92.0,2023,76.5,90.0
DC52,4204,Vrhovine,Ž5130,Ž5149,90,73.0,79.0,84.0,90.0,2023,76.0,87.0
DC53,2417,Donji Miholjac,Ž4295,D34,50,54.0,53.0,64.0,63.0,2023,53.5,63.5
DC53,2409,Velimirovac,Ž4075,D2,50,56.0,60.0,67.0,72.0,2023,58.0,69.5
DC53,3603,Gradac Našički,L44094,D51,50,71.0,67.0,84.0,78.0,2023,69.0,81.0
DC53,3607,Rastušje,L42038,D514,50,56.0,59.0,63.0,68.0,2023,57.5,65.5
DC53,3516,Slavonski Brod,D525,D72,60,73.0,77.0,84.0,88.0,2023,75.0,86.0
DC55,3706,Nuštar,Ž4134,Zvonimirova,50,62.0,59.0,71.0,67.0,2023,60.5,69.0
DC55,3740,Vinkovci istočna obilaznica,Zvonimirova,D46,80,89.0,100.0,103.0,116.0,2023,94.5,109.5
DC55,3710,Kunjevci,D46,L46023,60,79.0,82.0,95.0,97.0,2023,80.5,96.0
DC55,3719,Županja,Ž4170,GP,40,51.0,55.0,62.0,65.0,2023,53.0,63.5
DC56,4829,Tromilja,D502,Ž6021,60,76.0,81.0,86.0,92.0,2023,78.5,89.0
DC56,4916,Raštević,L63178,L63203,70,87.0,90.0,103.0,109.0,2023,88.5,106.0
DC56,5329,Bulić,L63151,L63151,50,75.0,75.0,90.0,90.0,2023,75.0,90.0
